ticker,quelle,jahre,roic,umsatz_cagr,eps_cagr,ek_cagr,fcf_cagr
CAP.PA,Yahoo,4.0,11.3,0.7,1.3,6.2,-0.5
TCS.NS,Yahoo,4.0,45.4,5.8,5.7,5.9,7.3
AZN.L,Yahoo,4.0,10.3,9.8,45.8,9.5,6.2
NVR,SEC,11.0,,7.2,29.9,12.0,34.8
HUB.AX,Yahoo,4.0,12.1,21.1,46.9,2.7,38.7
3436.T,Yahoo,4.0,6.3,-2.4,,2.7,
6146.T,Yahoo,4.0,23.8,15.4,17.9,19.1,13.3
EGIE3.SA,Yahoo,4.0,15.3,2.6,-1.0,14.8,-4.1
LYC.AX,Yahoo,4.0,5.3,7.5,-13.4,17.3,
CRM,SEC,11.0,1.6,50.3,,31.0,32.2
GNRC,SEC,11.0,7.7,33.3,34.4,18.9,5.4
BOL.ST,Yahoo,4.0,12.6,2.7,-9.7,9.5,-6.6
NXG.AX,Yahoo,4.0,-4.1,,,63.7,
SUL.AX,Yahoo,4.0,18.5,3.4,-7.7,-1.7,-8.2
TWE.AX,Yahoo,4.0,6.8,5.9,14.4,8.1,-4.8
AUB.AX,Yahoo,4.0,9.0,13.8,6.3,13.7,-16.8
1950.T,Yahoo,4.0,6.9,10.0,38.4,6.8,
LNW.AX,Yahoo,4.0,8.1,9.7,-56.2,-37.2,
FDS,SEC,11.0,11.1,43.3,26.5,15.2,10.0
SJ.TO,Yahoo,4.0,11.7,4.4,15.7,9.4,44.7
HCA,SEC,11.0,,6.5,35.1,,6.3
ROP,SEC,11.0,2.1,28.4,21.4,14.7,14.1
CCO.TO,Yahoo,4.0,4.9,23.1,83.1,5.8,88.3
CAR.AX,Yahoo,4.0,9.5,17.1,8.9,-3.7,27.1
TVK.TO,Yahoo,4.0,13.6,33.5,18.2,57.9,
DVA,SEC,11.0,178.5,25.3,,,-3.0
5713.T,Yahoo,4.0,5.9,7.0,3.6,8.3,
CRH,SEC,3.0,10.0,3.5,12.8,7.3,-4.6
DML.TO,Yahoo,4.0,-5.9,-18.2,,-5.5,
BGL.AX,Yahoo,4.0,-0.9,,,32.8,
NIC.AX,Yahoo,4.0,4.8,10.7,,16.3,41.5
EFN.TO,Yahoo,4.0,3.3,17.1,-0.1,0.1,
8035.T,Yahoo,4.0,24.8,3.4,10.3,9.0,-2.9
B3SA3.SA,Yahoo,4.0,18.4,3.5,5.5,-4.9,-25.1
1952.T,Yahoo,4.0,13.0,11.3,22.3,12.4,-4.0
DOW,SEC,7.0,,-1.4,,2.8,-25.3
AEM.TO,Yahoo,4.0,11.0,27.5,79.6,15.1,96.9
1942.T,Yahoo,4.0,12.0,11.1,27.8,9.4,233.0
NHY.OL,Yahoo,4.0,12.4,0.0,-33.8,-0.9,-16.0
DECK,SEC,11.0,9.5,45.6,,10.0,25.7
9602.T,Yahoo,4.0,10.4,13.9,17.1,8.0,20.5
JIOFIN.NS,Yahoo,4.0,0.9,431.7,268.4,5.5,
RDOR3.SA,Yahoo,4.0,10.2,34.3,59.0,-3.4,
META,SEC,11.0,19.9,20.1,33.7,17.3,22.5
5333.T,Yahoo,4.0,5.8,6.2,5.2,8.3,14.6
1211.HK,Yahoo,4.0,16.0,23.8,23.4,30.4,
4043.T,Yahoo,4.0,5.9,-0.2,-7.4,7.3,
DPZ,SEC,11.0,,22.6,35.4,,17.9
5631.T,Yahoo,4.0,7.6,4.8,17.1,10.1,
BXB.AX,Yahoo,4.0,17.9,8.2,15.7,9.7,
EVN.AX,Yahoo,4.0,7.3,26.5,37.9,12.8,83.7
HLMA.L,Yahoo,4.0,11.8,11.7,16.6,10.7,24.5
PRN.AX,Yahoo,4.0,7.9,5.0,-47.0,7.9,57.9
SAP.DE,Yahoo,4.0,10.3,7.6,46.3,3.5,20.8
WTB.L,Yahoo,4.0,9.3,3.6,-3.8,-8.6,-41.7
IMG.TO,Yahoo,4.0,9.2,43.8,,25.3,
KR,SEC,11.0,5.3,31.9,4.0,0.9,10.7
UBER,SEC,7.0,-7.0,24.2,,11.3,
6753.T,Yahoo,4.0,-2.8,-9.4,,10.5,
0288.HK,Yahoo,4.0,12.9,-0.1,4.5,5.2,32.4
STJ.L,Yahoo,4.0,32.6,,10.2,5.2,
7211.T,Yahoo,4.0,8.9,5.6,-46.8,4.7,
VNA.DE,Yahoo,4.0,-1.3,-0.9,,-4.3,5.5
MULT3.SA,Yahoo,4.0,12.1,15.1,21.0,-1.5,7.5
CMG,SEC,11.0,19.2,38.4,-6.2,2.9,13.4
ENGI11.SA,Yahoo,4.0,11.7,10.2,,20.3,-19.0
AMRZ.SW,Yahoo,4.0,8.1,3.3,2.2,17.3,-1.8
2618.HK,Yahoo,4.0,6.4,16.5,,5.5,10.2
COHR,SEC,11.0,5.1,64.2,31.3,31.1,
MGR.AX,Yahoo,4.0,0.8,13.0,-58.0,-3.9,
EDR.TO,Yahoo,4.0,-0.5,30.5,,22.4,
TXG.TO,Yahoo,4.0,14.9,14.6,27.4,23.4,1.1
NXE.TO,Yahoo,4.0,-4.1,,,63.7,
SN.L,Yahoo,4.0,5.5,5.7,42.0,0.2,97.9
6954.T,Yahoo,4.0,7.4,0.2,-0.0,4.9,63.6
CAE.TO,Yahoo,4.0,3.8,7.0,11.5,5.6,
NDA.DE,Yahoo,4.0,9.6,-0.6,-9.0,5.6,
FNTN.DE,Yahoo,4.0,12.6,-1.5,50.9,1.3,3.0
BZU.MI,Yahoo,4.0,12.1,4.2,27.4,13.0,56.3
NOC,SEC,11.0,6.9,26.4,27.9,11.7,6.9
3092.T,Yahoo,4.0,42.2,7.6,7.2,11.7,18.4
RRL.AX,Yahoo,4.0,9.9,27.5,,12.3,246.6
1945.T,Yahoo,4.0,5.3,1.7,27.7,3.0,-3.0
CCI,SEC,11.0,0.9,-15.6,10.0,19.3,5.5
ERIC-B.ST,Yahoo,4.0,6.6,-4.5,14.8,-6.7,5.8
