ticker,name,land
BOSS.DE,Hugo Boss,Deutschland
BP.L,BP,Grossbritannien
BPAC11.SA,BTG Pactual,Brasilien
BPAN4.SA,Banco Pan,Brasilien
BPT.AX,Beach Energy,Australien
BRAP4.SA,Bradespar,Brasilien
BRBY.L,Burberry Group,Grossbritannien
BRFS3.SA,BRF,Brasilien
BRG.AX,Breville Group,Australien
BRKM5.SA,Braskem,Brasilien
BRML3.SA,BRMalls,Brasilien
BSL.AX,BlueScope,Australien
BT.L,BT Group,Grossbritannien
BTE.TO,Baytex Energy Corp.,Kanada
BTO.TO,B2Gold Corp.,Kanada
BTRW.L,Barratt Redrow,Grossbritannien
BVI.PA,Bureau Veritas,Frankreich
BWLPG.OL,BW LPG,Norwegen
BWP.AX,BWP Trust,Australien
BXB.AX,Brambles,Australien
BYD.TO,Boyd Group Services Inc.,Kanada
CA.PA,Carrefour,Frankreich
CABK.MC,CaixaBank,Spanien
CAE.TO,CAE Inc.,Kanada
CAP.PA,Capgemini,Frankreich
CAR.AX,CAR Group,Australien
CAR.TO,Canadian Apartment Properties Real Estate Investment Trust,Kanada
CASH3.SA,Méliuz,Brasilien
CBA.AX,Commonwealth Bank,Australien
CBK.DE,Commerzbank,Deutschland
CCA.TO,Cogeco Communications Inc.,Kanada
CCC.L,Computacenter,Grossbritannien
CCEP.L,Coca-Cola Europacific Partners,Grossbritannien
CCH.L,Coca-Cola HBC,Grossbritannien
CCL.TO,CCL Industries Inc.,Kanada
CCO.TO,Cameco Corporation,Kanada
CCRO3.SA,CCR,Brasilien
CDA.AX,Codan,Australien
CEN.AX,Contact Energy,Australien
CEU.TO,CES Energy Solutions Corp.,Kanada
CFR.SW,Compagnie Financière Richemont SA,Schweiz
CG.TO,Centerra Gold Inc.,Kanada
CGF.AX,Challenger,Australien
CHC.AX,Charter Hall,Australien
CHP.TO,Choice Properties Real Estate Investment Trust,Kanada
CIA.AX,Champion Iron,Australien
CIEL3.SA,Cielo,Brasilien
CIGI.TO,Colliers International Group Inc.,Kanada
CIP.AX,Centuria Industrial REIT,Australien
CIPLA.NS,Cipla,Indien
CJT.TO,Cargojet Inc.,Kanada
CLNX.MC,Cellnex Telecom,Spanien
CLS.TO,Celestica Inc.,Kanada
CLW.AX,Charter Hall Long WALE REIT,Australien
CM.TO,Canadian Imperial Bank of Commerce,Kanada
CMIG4.SA,CEMIG,Brasilien
CMM.AX,Capricorn Metals,Australien
CNA.L,Centrica,Grossbritannien
CNQ.TO,Canadian Natural Resources Limited,Kanada
CNR.TO,Canadian National Railway Company,Kanada
CNU.AX,Chorus,Australien
COALINDIA.NS,Coal India,Indien
COGN3.SA,Cogna,Brasilien
COH.AX,Cochlear,Australien
COL.AX,Coles Group,Australien
COL.MC,Inmobiliaria Colonial,Spanien
CON.DE,Continental,Deutschland
CP.TO,Canadian Pacific Kansas City Limited,Kanada
CPFE3.SA,CPFL Energia,Brasilien
CPG.L,Compass Group,Grossbritannien
CPLE6.SA,Copel,Brasilien
CPU.AX,Computershare,Australien
CPX.TO,Capital Power Corporation,Kanada
CQR.AX,Charter Hall Retail REIT,Australien
CRDA.L,Croda International,Grossbritannien
CRFB3.SA,Carrefour Brasil,Brasilien
CRR.TO,Crombie Real Estate Investment Trust,Kanada
CRT.TO,CT Real Estate Investment Trust,Kanada
CS-PA,Axa,Europa
CS.PA,Axa,Frankreich
CS.TO,Capstone Copper Corp.,Kanada
CSAN3.SA,Cosan,Brasilien
CSC.AX,Capstone Copper,Australien
CSH.TO,Chartwell Retirement Residences,Kanada
CSL.AX,CSL,Australien
CSNA3.SA,CSN,Brasilien
CSU.TO,Constellation Software Inc.,Kanada
CTC.TO,Canadian Tire Corporation Limited,Kanada
CTD.AX,Corporate Travel Management,Australien
CTEC.L,Convatec,Grossbritannien
CU.TO,Canadian Utilities Limited,Kanada
CURA.TO,"Curaleaf Holdings, Inc.",Kanada
CVCB3.SA,CVC Brasil,Brasilien
CVE.TO,Cenovus Energy Inc.,Kanada
CWY.AX,Cleanaway,Australien
CYL.AX,Catalyst Metals,Australien
CYRE3.SA,Cyrela Brazil Realty,Brasilien
DB1-DE,Deutsche Börse,Europa
DB1.DE,Deutsche Börse,Deutschland
DBI.AX,Dalrymple Bay Infrastructure,Australien
DBK-DE,Deutsche Bank,Europa
DBK.DE,Deutsche Bank,Deutschland
DCC.L,DCC Energy,Grossbritannien
DFY.TO,Definity Financial Corporation,Kanada
DG-PA,Vinci SA,Europa
DG.PA,Vinci,Frankreich
DGE.L,Diageo,Grossbritannien
DHER.DE,Delivery Hero,Deutschland
DHL-DE,Deutsche Post,Europa
DHL.DE,Deutsche Post,Deutschland
DIR.TO,Dream Industrial Real Estate Investment Trust,Kanada
DML.TO,Denison Mines Corp.,Kanada
DNB.OL,DNB Bank,Norwegen
DNL.AX,Dyno Nobel,Australien
DOL.TO,Dollarama Inc.,Kanada
DOO.TO,BRP Inc.,Kanada
DOW.AX,Downer Group,Australien
DPLM.L,Diploma,Grossbritannien
DPM.TO,Dundee Precious Metals Inc.,Kanada
DRO.AX,Droneshield,Australien
DRR.AX,Deterra Royalties,Australien
DRREDDY.NS,Dr. Reddy's Laboratories,Indien
DSFIR.AS,DSM Firmenich AG,Niederlande
DSG.TO,Descartes Systems Group Inc.,Kanada
DSV.TO,Discovery Silver Corp.,Kanada
DSY.PA,Dassault Systèmes,Frankreich
DTE-DE,Deutsche Telekom,Europa
DTE.DE,Deutsche Telekom,Deutschland
DTG.DE,Daimler Truck,Deutschland
DXCO3.SA,Dexco,Brasilien
DXS.AX,Dexus,Australien
DYL.AX,Deep Yellow,Australien
EBO.AX,EBOS Group,Australien
ECOR3.SA,EcoRodovias,Brasilien
ECV.DE,Encavis,Deutschland
EDEN.PA,Edenred,Frankreich
EDR.TO,Endeavour Silver Corp.,Kanada
EDV.AX,Endeavour Group,Australien
EDV.L,Endeavour Mining,Grossbritannien
EFN.TO,Element Fleet Management Corp.,Kanada
EFR.TO,Energy Fuels Inc.,Kanada
EFX.TO,Equifax Inc.,Kanada
EGIE3.SA,ENGIE Brasil,Brasilien
EICHERMOT.NS,Eicher Motors,Indien
EIF.TO,Exchange Income Corporation,Kanada
EL-PA,EssilorLuxottica,Europa
EL.PA,EssilorLuxottica,Frankreich
ELD.TO,Eldorado Gold Corporation,Kanada
ELE.MC,Endesa,Spanien
EMA.TO,Emera Incorporated,Kanada
EMBJ3.SA,Embraer,Brasilien
EMP.TO,Empire Company Limited,Kanada
EMR.AX,Emerald Resources,Australien
EN.PA,Bouygues,Frankreich
ENB.TO,Enbridge Inc.,Kanada
ENBR3.SA,EDP - Energias do Brasil,Brasilien
ENEL-MI,Enel,Europa
ENEV3.SA,Eneva,Brasilien
ENG.MC,Enagás,Spanien
ENGI.PA,Engie,Frankreich
ENGI11.SA,Energisa,Brasilien
ENI-MI,Eni,Europa
ENR-DE,Siemens Energy,Europa
ENR.DE,Siemens Energy,Deutschland
ENT.L,Entain,Grossbritannien
EOAN.DE,E.ON,Deutschland
EOS.AX,Electro Optic Systems Holdings,Australien
EQB.TO,EQB Inc.,Kanada
EQNR.OL,Equinor,Norwegen
EQTL3.SA,Equatorial Energia,Brasilien
EQX.TO,Equinox Gold Corp.,Kanada
ERF.PA,Eurofins Scientific,Frankreich
ERO.TO,Ero Copper Corp.,Kanada
